event_id,name,clean_description,location_room,start_date_clean,start_time,end_time,duration,pre_reg_flag,paid_flag,laptop_flag,speakers_cleaned,session_type,keywords,skill_level
3796,IRE Membership Meeting,"Doug Haddix, IRE's Executive Director, will hold a membership meeting for all IRE members at 5:30 p.m. in Oceans 9-12, located on the 1st floor of the Renaissance Orlando at SeaWorld. ",Oceans 9-12,2018-06-16,2018-06-16T23:30:00Z,2018-06-17T00:00:00Z,30,FALSE,FALSE,FALSE,NA,NA,NA,NA
3797,Board of director/contest committee voting ends, NA ,NA,2018-06-16,2018-06-17T00:00:00Z,2018-06-17T00:00:00Z,0,FALSE,FALSE,FALSE,NA,NA,NA,NA
3798,Announcement of election results for IRE Board of Directors and Contest Committee, NA ,Oceans 9-12,2018-06-16,2018-06-17T00:15:00Z,2018-06-17T00:15:00Z,0,FALSE,FALSE,FALSE,NA,NA,NA,NA
3799,Closing reception,"Join us for a closing reception beginning at 6:30 p.m. in the Atrium located on the 1st floor of the Renaissance Orlando at SeaWorld and enjoy one last evening of catching up with old and new friends, speakers and colleagues. Hors d' oeuvres and a cash bar will be available. Conference nametags are required for entry. ",Atrium,2018-06-16,2018-06-17T00:30:00Z,2018-06-17T02:00:00Z,90,FALSE,FALSE,FALSE,NA,NA,NA,NA
3800,IRE Mentoring Program networking breakfast **invitation-only event, NA ,Oceans 11-12,2018-06-15,2018-06-15T13:45:00Z,2018-06-15T14:45:00Z,60,FALSE,FALSE,FALSE,NA,NA,NA,NA
3802,Technology and Tools Track: Emerging tools for investigative journalists,"These days, staying up to date on new tools and separating reality from science fiction can feel like a full-time job… on top of everything else we have to do. We will walk through what emerging tools we’re using and excited about, why it’s worth making the case for experimentation, even in a small newsroom, and how to incorporate new tools into your reporting, your newsroom and your audience experience. ",Oceans 6-8,2018-06-14,2018-06-14T15:00:00Z,2018-06-14T16:00:00Z,60,FALSE,FALSE,FALSE,"Meredith Broussard, New York University; Cheryl Phillips, Stanford University (moderator); Nicholas Whitaker, Google News Lab",Panel,NA,NA
3803,Freelance investigations,"An investigator has to juggle more than the average reporter - long lead time, high expectations, a wide variety of tasks and deadlines (or sometimes worse, no deadlines). That's even more pronounced for freelancers. How do you know when you have a good enough investigation to pitch? How deep do you dive before you know you're getting paid? How do you build sources without a household name? A few freelance investigative reporters with experience in these areas will share their own tips and take questions from the audience - current or prospective freelancers welcome. ",Oceans 3,2018-06-14,2018-06-14T21:45:00Z,2018-06-14T22:45:00Z,60,FALSE,FALSE,FALSE,"Samantha Sunne (moderator), Hilary Niles, Cat Ferguson, Mc Nelly Torres; independent journalists",Panel,NA,NA
3804,Investigating climate change,"People flooded out of homes that were built, fully permitted, in an actual spillway. Small towns left alone to plan for rising sea level. The latest on who’s funding climate doubt. And how ""clean natural gas"" isn't so clean. Come for story ideas, advice on key sources and data, and pointers on telling the story of climatic change. ",Crystal AB,2018-06-15,2018-06-15T23:00:00Z,2018-06-16T00:15:00Z,75,FALSE,FALSE,FALSE,"Amy Green, WMFE-NPR Orlando; Zahra Hirji, BuzzFeed News; Ingrid Lobet, independent journalist (moderator); Neena Satija, The Texas Tribune",Panel,NA,NA
3805,Year in investigations,Pick up some story ideas and get inspired by some of the year's best investigations. ,Oceans 4,2018-06-14,2018-06-14T15:00:00Z,2018-06-14T16:00:00Z,60,FALSE,FALSE,FALSE,"Sarah Hutchins & Mark Walker, IRE/NICAR",Panel,NA,NA
3813,Work Better Track: How to learn from a fail,"Investigative work is often complex, detail-oriented and executed over weeks or months. Without a system in place to prevent errors along the way, these factors that can contribute to mistakes in your final product and undermine your impact. To guard against errors, you'll need to take concrete steps to ensure accuracy during every step of the reporting process. We'll show you our tried and true methods — including document corroboration, source vetting, script footnoting and final accuracy checks — for inoculating stories from errors. And because mistakes do happen, we'll detail what we've learned from our own missteps and discuss how to respond responsibly and with transparency. ",Oceans 5-7,2018-06-14,2018-06-14T15:00:00Z,2018-06-14T16:00:00Z,60,FALSE,FALSE,FALSE,"Ziva Branstetter, Reveal from the Center for Investigative Reporting (moderator); Tyler Dukes, WRAL-Raleigh; Adam Playford, Tampa Bay Times",Panel,NA,NA
3814,On the beat: Investigating healthcare in your town and across the country,"Healthcare is ripe with stories but also ripe with reporting roadblocks. We will talk about how to get the story even if everyone is citing HIPAA. Learn about where to turn for documents and data, how find people who have been harmed and spotting when political influence is affecting health policy. ",Crystal AB,2018-06-14,2018-06-14T15:00:00Z,2018-06-14T16:00:00Z,60,FALSE,FALSE,FALSE,"Rebekah Allen, The Advocate; Mike Baker, The Seattle Times; Ellen Gabler, The New York Times (moderator); Christina Jewett, Kaiser Health News",Panel,NA,NA
3815,Broadcast Track: Best of broadcast (Sponsored by National Association of Broadcasters),"Watch and listen as the photographers, editors, reporters and producers behind this year’s IRE Award winners and finalists explain how they did it, what they would do differently and what they were really thinking when things got hard. ",Crystal C,2018-06-14,2018-06-14T15:00:00Z,2018-06-14T16:00:00Z,60,FALSE,FALSE,FALSE,"Lee Zurik, WVUE-New Orleans (moderator)",Broadcast,NA,NA
3816,Better journalism through memory: The Wayback Machine and the history of the Web (Sponsored by Knight Foundation),"As numerous events over the past year have demonstrated the usefulness and importance of the web and other digital media archives, and the Wayback Machine, in particular, is growing. Mark Graham will explain these topics and provide real-world examples of various ways journalists and investigators can use the Wayback Machine to help answer questions and gather evidence to back-up claims. Participants will gain actionable experience they can immediately apply to their jobs. At the same time, we will collectively explore new services the Internet Archive might explore and develop, to advance our mission of helping to make the Web more useful and reliable. In addition, we will explore how the Internet Archive's TV News archive can help journalists by giving them the ability to interface with video as data, and conduct research and analysis that was so difficult it was nearly impossible just two years ago. ",Oceans 9-10,2018-06-14,2018-06-14T15:00:00Z,2018-06-14T16:00:00Z,60,FALSE,FALSE,FALSE,"Mark Graham, Internet Archive",Demo,NA,NA
3817,Afflicting the comfortable,"A journalist's mission is to comfort the afflicted and afflict the comfortable. And while reporters often focus on the failure of institutions, powerful individuals are ultimately the responsible parties. So how do we hold the powerful accountable? Four panelists give their tips on how best to approach people on lofty perches, get them to talk, and bulletproof our stories about them. ",Crystal AB,2018-06-14,2018-06-14T16:15:00Z,2018-06-14T17:15:00Z,60,FALSE,FALSE,FALSE,"Nancy Amons, WSMV-Nashville(moderator); Nigel Jaquiss, Willamette Week; Sammy Roth, The Desert Sun; Paul Pringle, Los Angeles Times",Panel,NA,NA
3819,Thinking big: Building a network of students and professionals to tackle national projects,"A group of universities and nonprofit news organizations have banded together to collectively undertake an ambitious national project on limited funds. They will discuss the model they are developing, solicit suggestions from the crowd and connect with potential partners. ",Oceans 4,2018-06-16,2018-06-16T15:00:00Z,2018-06-16T16:00:00Z,60,FALSE,FALSE,FALSE,"Christopher Drew, Louisiana State University; Lindsay Huth, University of Maryland College Park; Rick Tulsky, Injustice Watch; Deborah Nelson, University of Maryland (moderator)",Panel,NA,NA
3820,Covering natural disasters: Breaking news and beyond,"When disaster strikes, will you be ready? How can you prepare before it hits? How do you manage the chaos in real time? What are some ways you can come out of the disaster with strong stories lined up explaining it all? This session will offer proven tips on where to get data, records, sources and story ideas from journalists who lived through it all. ",Oceans 5-7,2018-06-14,2018-06-14T16:15:00Z,2018-06-14T17:15:00Z,60,FALSE,FALSE,FALSE,"Matt Dempsey, Houston Chronicle (moderator); Ron Lin, Los Angeles Times; Carla Minet, Centro de Periodismo Investigativo-- APPROVED DM LG>",Panel,NA,NA
3821,Local watchdog showcase,Learn new and old reporting tricks as the team from the Local Matters newsletter highlights a recent selection of great local watchdog journalism. Hear firsthand presentations by local reporters from across the country on how to expose wrongdoing in your community. ,Oceans 6-8,2018-06-14,2018-06-14T16:15:00Z,2018-06-14T17:15:00Z,60,FALSE,FALSE,FALSE,"Joey Cranney, The Post and Courier; Brett Murphy, USA TODAY Network; Katie Shepherd, Willamette Week",Panel,NA,NA
3822,Broadcast Track: State of the industry (Sponsored by National Association of Broadcasters),"**Moderated by Mark Greenblatt On this panel, top executives gather for a rare and candid discussion about where investigative reporting is headed next. Hear from a CEO of a major station group as he talks about the need to invest in and support investigative content. He'll also field questions about the realities of our industry’s changing business model and talk about the opportunities he sees for long-form content in a digital world. A veteran network executive producer who oversees investigations at the national level will explore lessons and comparisons between covering the Trump and Clinton Administrations while examining both the dangers and the opportunities investigative reporters face today. He also plans to present winning strategies for investigations that work for morning television audiences. A senior executive at another major station group will explain her company’s focus on innovation surrounding investigations while highlighting examples of experimentation with data storytelling. And the director of journalism for a major non-profit foundation addresses the new evidence and data now emerging that speaks to the increasing importance and influence local TV stations play in their communities while using that data to talk about where companies and non-profits should be investing next. ",Crystal C,2018-06-14,2018-06-14T16:15:00Z,2018-06-14T17:15:00Z,60,FALSE,FALSE,FALSE,"Mark Greenblatt, Scripps Washington Bureau (moderator); Pat LaPlatney, Raycom Media; Karen Rundlet, Knight Foundation; Ellen Crooke, TEGNA; Chris Vlasto, ABC News",Broadcast,NA,NA
3823,"Work Better Track: One journalist, multiple hats","As some newsrooms shrink, folks may be taking on two or three roles that would otherwise demand two or three separate full-time staffers. What tools can you use to make your job easier? How can you quickly be your own quality graphic artist and photographer/videographer? How can you prioritize your days and weeks to knock out the most work? How do you quickly pick up new beats and keep track of…. everything? We’ll give you our tips from experience and share tools you can take home. ",Crystal AB,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Jake Bleiberg, Bangor Daily News; Jamie Grey, Raycom Media (moderator); Kristin Hussey, independent journalist",Panel,NA,NA
3824,Public Records Track: 50 records to request right now,"Get your FOI templates ready to roll. In this quick-paced, lightning-round style session, two investigative reporters and public records geeks will cover their favorite, most unique, overlooked and under-appreciated records to request from all levels of government. They'll also give examples of how these records were used to produce stories in newsrooms around the country. ",Oceans 5-7,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Kelly Hinchcliffe, WRAL-Raleigh; Todd Wallack, The Boston Globe",Panel,NA,NA
3825,Election & Politics Track: Trumping norms: Tracking the Trump Administration’s conflicts of interest,"Generally, most U.S. Presidents do not ensconce their daughter and son-in-law in White House West Wing offices, nor lease and operate a posh hotel bearing their name just a block from the White House, nor refuse to publicly release their tax returns unlike all other previously-elected presidents since the Watergate scandal. Donald J. Trump has flouted many of the ethical mores of past presidents, including even such basics as facts and truth, according to the Washington Post uttering 3,000 false or misleading statements in just his first 16 months in office. All of which makes tracking the Trump administration’s conflicts of interest and other ethics-related issues an excellent adventure for any reporter and news organization. Meanwhile, public trust in government remains near historic lows in the United States. ",Oceans 3,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Derek Kravitz, ProPublica; Andrew Lehren, NBC News; Charles Lewis, Investigative Reporting Workshop (moderator); Clare Malone, FiveThirtyEight",Panel,NA,NA
3826,Tunnel vision: Finding great stories about transportation,"The subway, the highway, school buses, planes, trains and automobiles: Few beats affect as many people as transportation. And in 2018, when seemingly every week is ""Infrastructure Week,"" the topic is more important than ever. Three reporters from different parts of the country share tips and tools for finding great stories in your community. ",Oceans 3,2018-06-14,2018-06-14T20:30:00Z,2018-06-14T21:30:00Z,60,FALSE,FALSE,FALSE,"Scott Friedman, KXAS/NBC5 Dallas-Fort Worth; Laura Nelson, Los Angeles Times; Brian Rosenthal, The New York Times (moderator)",Panel,NA,NA
3827,Investigating worker exploitation,"Mistreatment and abuse of workers happen in foreign lands as well as America's heartland — and a shocking number of points in between. Stories may be hiding in plain sight in your communities behind factory walls, in farm fields and even in tractor-trailer trucks. Learn how to expose worker exploitation, make readers care and spark reforms. ",Crystal E,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Peggy Lowe, Harvest Public Media; Brett Murphy, USA TODAY Network; Shoshana Walter, Reveal from the Center for Investigative Reporting (moderator)",Panel,NA,NA
3828,Diversity Track: Investigating inequality,"Hear from journalists on the front lines of investigating racial and other inequities. Get story ideas as well as reporting and writing tips, along with advice on how best to frame stories in the proper historical context. Relevant public records and data sets also will be discussed. ",Oceans 6-8,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Nicole Dungca, The Boston Globe (moderator); Meghan Irons, The Boston Globe; Emmanuel Martinez, Reveal from the Center for Investigative Reporting",Panel,NA,NA
3829,Broadcast Track: Art of the interview (Sponsored by National Association of Broadcasters),"Seasoned broadcast journalists break down what makes on-camera interviews successful. Learn proven strategies to prep for interviews, approach reluctant subjects, handle tough situations, navigate ethical trouble-spots and more. ",Crystal C,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Scott Friedman, KXAS/NBC5 Dallas-Fort Worth; Danielle Leigh, ABC7 New York/WABC; Scott Zamost, CNBC (moderator)",Broadcast,NA,NA
3830,Decoding business & financial documents (Sponsored by Bloomberg),"Join this panel to learn how to use SEC records, track opaque companies and dig into state and local business records. We'll show examples of stories that use business documents and send you home with lots of great story ideas. ",Oceans 1,2018-06-16,2018-06-16T15:00:00Z,2018-06-16T16:00:00Z,60,FALSE,FALSE,FALSE,"David Milstead, independent journalist; Jo Craven McGinty, The Wall Street Journal; Aaron Kessler, CNN, Kelly Carr",Panel,NA,NA
3831,Finding immigration stories in data about communities and people,"Covering immigration is more than raids and rallies and restaurants. As the share of immigrant Americans nears record levels, it's finding stories about how immigrants change once here, and how they change the people and places around them. It's also knowing how to knock down myths and fears with facts. Learn how reporters use Census and other demographic data to cover immigration and how it's changing your community. ",Crystal E,2018-06-14,2018-06-14T20:30:00Z,2018-06-14T21:30:00Z,60,FALSE,FALSE,FALSE,"Paul Overberg, The Wall Street Journal; Tim Henderson, Pew Stateline",Panel,NA,NA
3832,Turning your investigation into a book,"Non-fiction book writing is a creatively satisfying way of taking your investigative project to the next level, and to a potentially global audience. It‘s a great way to make use of all that research and reporting you did for your project that didn’t “make it in.” And it’s one of the last bastions of in-depth investigative reporting, especially for those not still working for large mainstream media outlets. Even though bookstores are closing, there are many exciting opportunities on publishing’s digital frontier. These published author/journalists share their best advice, and offer lessons learned and cautionary tales. ",Oceans 4,2018-06-14,2018-06-14T17:30:00Z,2018-06-14T18:30:00Z,60,FALSE,FALSE,FALSE,"Blake Ellis, CNN; Melanie Hicken, CNN; Mary Shanklin, independent journalist (moderator); Mark Schlabach, ESPN",Panel,NA,NA
3833,On the beat: The data sets every government reporter should have,"Veteran data and government reporters team up to share a list of data sets that can give you a competitive edge in both breaking news and long-term investigations. Walk away from this panel with a wide-ranging list of local and national databases you can request or download immediately, along with related story ideas that will position you to lead coverage while holding governments of all levels accountable. Databases covered will include topics as diverse as payroll, pensions, settlements, vendor information, check registers, immigration courts, voter registration, licensed professionals, property tax, and much more. ",Oceans 4,2018-06-14,2018-06-14T20:30:00Z,2018-06-14T21:30:00Z,60,TRUE,TRUE,FALSE,"Claudia Vargas, The Philadelphia Inquirer; Mark Greenblatt, Scripps Washington Bureau (moderator); Jennifer Peebles, Atlanta Journal Constitution",Panel,NA,NA
3834,Mass shooting “contagion” and media coverage: Minimizing the risks,"A growing body of research provides evidence of a disturbing problem: Extensive coverage of mass shootings is a factor in the increasing lethality of these incidents, and it appears to encourage some copycats who crave widespread attention and even fame. Social media sharing of content related to mass shootings, the people who commit them, their names, images, and “manifestos” also seems to increase the likelihood of subsequent mass shootings. Meanwhile, the news media have a responsibility to bear witness to events of public interest and attempt to make sense of the seemingly senseless, hold institutions (including their own) accountable for failures, and examine the psychological and social factors that might help predict and prevent mass shootings. How can the news media do their job while minimizing the potential harms of their coverage? What guidance does the research provide? ",Oceans 5-7,2018-06-14,2018-06-14T20:30:00Z,2018-06-14T21:30:00Z,60,FALSE,FALSE,FALSE,"Lisa Cianci, Orlando Sentinel; Dawn Clapperton, NBC6 Miami; Adam Lankford, The University of Alabama; Katherine Reed, Missouri School of Journalism (moderator)",Panel,NA,NA
3835,Don't bore me!,"You have the facts, you know the story better than anyone, you know in your bones your investigation matters. Now, you have to make ME the viewer/reader/listener and your bosses care. Veteran journalist and trainer, Al Tompkins, will show you eight key “motivators” that you can use to solidly connect any story with the public. You can have all the fancy graphics, interactives and chasing-bad-guys-down-the-hall video you want but unless you connect with the public ... it’s just noise. ",Oceans 6-8,2018-06-14,2018-06-14T20:30:00Z,2018-06-14T21:30:00Z,60,FALSE,FALSE,FALSE,"Al Tompkins, Poynter Institute",Panel,NA,NA
3836,"Broadcast Track: Going undercover: Hidden cameras, methods and ethics (Sponsored by National Association of Broadcasters)","Undercover filming is one of the most powerful tools available for television investigations. But how do you do undercover investigations? And when should you do them? In this session, teams from across the U.S. and abroad share their experiences and knowledge of the art of going undercover – and the tricks of the trade. ",Crystal C,2018-06-14,2018-06-14T21:45:00Z,2018-06-14T22:45:00Z,60,FALSE,FALSE,FALSE,"Jeremy Jojola, KUSA/9News Denver (moderator); Job Rabkin, Channel 4 News; Diane Wilson, WTVD-Raleigh",Broadcast,NA,NA
3837,"How to find, read and use 990s","There are more than 1.5 million nonprofits spread across the U.S., including public charities, private foundations and other types such as chambers of commerce. These organizations are involved in a variety of industries including education, government, the environment, health and any other topic a typical reporter may cover in their day-to-day beat. Most nonprofits are required to file detailed statements — called 990s — that publicly disclose a large amount of information about the organization. This session is designed to provide both novice and expert reporters with tips, strategies and context for navigating the world of nonprofits. Panelists will: *Give an overview of how nonprofits work and are held accountable across the country *Explain how to find, read and use 990s *Highlight potential red flags within the paperwork *Discuss updates in the nonprofit industry over the past year, including new government initiatives and transparency tools for reporters ",Crystal AB,2018-06-14,2018-06-14T21:45:00Z,2018-06-14T22:45:00Z,60,FALSE,FALSE,FALSE,"Brad Racino, inewsource; Katie Rusnock, Charity Navigator",Panel,NA,NA
3838,Public Records Track: Insider secrets about your open records requests,Get a behind-the-scenes look at the discussions on the other side of your open records requests. Government officials who handle federal and state-level requests will talk about the common problems they see with requests and how journalists can better formulate requests to get better — and quicker — responses. ,Crystal E,2018-06-14,2018-06-14T21:45:00Z,2018-06-14T22:45:00Z,60,FALSE,FALSE,FALSE,"Jill Eggleston, National Records Center; Pat Gleason, Florida Attorney General's Office; Sheela Portonovo, Office of Governmental Information Services; Norberto Santana, Voice of OC (moderator) ",Panel,NA,NA
3839,On the beat: Financial hurdles to higher education (Sponsored by Lumina Foundation),"You want to report on the soaring cost of college, but it feels like every day you hear about a new study or ranking on college cost and student debt. Where do you start and how do you know which reports to trust? This session will point you to key data sources for covering the cost of college in your city or state and the national datasets that will help you give your story context. We’ll also discuss how to show the impact of financial barriers on communities that are disproportionately affected. ",Oceans 4,2018-06-14,2018-06-14T21:45:00Z,2018-06-14T22:45:00Z,60,FALSE,FALSE,FALSE,"Dan Bauman, The Chronicle of Higher Education; Kim Clark, Education Writers Association (moderator); Adam Harris, The Atlantic; Maria Perez Sanchez, Naples Daily News",Panel,NA,NA
3840,Diversity Track: Finding stories in hidden communities,"Don’t settle for “it can’t be done.” This session will discuss how to cover and build relationships with overlooked communities such as Native Americans, immigrants, the homeless and people experiencing racism or hate. Panelists will give practical tips on how to connect with people in such communities, understanding the challenges marginalized groups face and how to tell their stories. ",Oceans 6-8,2018-06-15,2018-06-15T20:30:00Z,2018-06-15T21:30:00Z,60,FALSE,FALSE,FALSE,"Anita Hassan, Las Vegas Review-Journal (moderator); Jaeah Lee, independent journalist; Jenni Monet, independent journalist; Andrea Castillo, Los Angeles Times",Panel,NA,NA
